,Trust_Score,Kms_Driven,Year,RegState_Codes,Brand_Codes,Fuel_Codes,Trans_Codes,Model_Name,Price
2698,6.7,23652,2012,0,16,2,2,Swift,12.745564440251206
2699,7.3,29652,2013,0,25,0,2,Laura,13.375975608158388
2700,6.7,31452,2014,0,16,2,2,Swift,12.940222604268024
2701,6.7,26631,2012,0,13,0,2,XUV500,13.379832603774515
2702,7.2,36142,2012,0,28,0,2,Vento,13.241469981202272
2703,6.9,23528,2017,0,26,0,2,Nexon,13.322316906673361
2704,6.7,28965,2015,0,16,0,2,Baleno,13.32479797082884
2705,6.7,30125,2014,0,8,2,2,Grand,12.651082132354988
2706,7.5,64436,2011,0,16,2,2,Alto,12.074419487917423
2707,6.9,85620,2012,0,27,0,2,Fortuner,14.748289410613838
2708,7.1,18958,2018,0,13,0,2,XUV500,14.23313609411473
2709,6.9,28784,2016,0,16,2,2,Baleno,13.021559132827715
2710,7.0,22365,2018,0,25,2,2,Superb,14.580770936724342
2711,7.1,23654,2018,0,27,0,2,Innova,14.268023996669855
2712,6.6,153254,2007,0,27,0,2,Innova,12.69037666011079
2713,6.7,41124,2014,0,13,0,2,Bolero,13.103247834011935
2714,7.2,41012,2013,0,8,0,2,Verna,13.161101281716485
2715,7.2,47845,2013,0,8,0,2,Verna,13.138285937948144
2716,7.2,22013,2018,0,27,0,2,Corolla,14.443532378563757
2717,7.3,23663,2018,0,10,0,2,Compass,14.331224016778242
2718,6.6,57580,2013,0,8,0,2,i20,12.928346496141044
2719,7.6,61789,2014,0,6,0,2,EcoSport,13.252982784310888
2720,6.8,78485,2010,0,8,2,2,i20,12.5127297970722
2721,6.9,45695,2015,0,7,2,2,City,13.26107955576756
2722,7.0,88748,2006,0,27,0,2,Corolla,12.356520765047172
2723,7.1,35985,2015,0,13,0,2,XUV500,13.680132890594388
2724,6.7,41232,2011,0,16,2,2,Ritz,12.13681902576563
2725,7.1,42585,2017,0,23,0,2,Captur,13.9666355220698
2726,7.1,42155,2017,0,23,0,2,Captur,13.9666355220698
2727,6.7,36252,2013,0,16,0,2,Ertiga,13.107907391314278
2728,6.8,36321,2013,0,23,0,2,Duster,13.316389501056902
2729,6.7,41452,2010,0,16,2,2,Swift,12.417309593737818
2730,7.1,44152,2017,0,8,0,2,Creta,13.676557638242018
2731,7.2,23589,2018,0,10,0,2,Compass,14.443511566137351
2732,7.2,22478,2018,0,27,0,2,Innova,14.263036572823902
2733,6.5,36252,2017,0,16,2,2,Wagon,12.902766030866776
2734,6.6,26965,2017,0,16,2,2,Alto,12.71164851340994
2735,6.7,36256,2013,0,16,2,2,Swift,12.735370600375864
2736,6.7,23652,2017,0,16,0,2,Baleno,13.439815880188286
2737,6.8,29857,2015,0,26,2,2,Nano,11.72499997991353
2738,7.0,51470,2016,0,7,2,2,Amaze,13.132194889317619
2739,7.1,14520,2017,0,27,0,2,Innova,14.386768032026287
2740,6.7,89744,2011,0,8,2,2,i10,12.248470996946791
2741,7.3,14550,2018,0,10,0,2,Compass,14.580964911640784
2742,7.1,17455,2018,0,27,0,2,Innova,14.530293977843575
2743,6.9,21452,2018,0,27,0,2,Innova,14.535281655676455
2744,7.0,12365,2018,0,8,0,2,Creta,14.190214007355685
2745,7.2,41142,2014,0,2,2,2,Beat,12.51853757040303
2746,6.7,35214,2014,0,8,0,2,i20,13.103771616713196
2747,6.6,37848,2017,0,8,2,2,i20,13.242096510384327
2748,6.9,22478,2018,0,26,0,2,Hexa,14.129226538189677
2749,7.5,47480,2017,0,13,0,2,XUV500,13.95517597394178
2750,6.7,42145,2010,0,7,2,2,Civic,12.802433557402427
2751,6.7,68748,2014,0,7,2,2,City,13.10191982475937
2752,7.3,45012,2014,0,13,0,2,XUV500,13.746758371796002
2753,6.8,67480,2015,0,27,0,2,Fortuner,14.751017470698704
2754,7.1,17455,2018,0,27,0,2,Innova,14.44127945574427
2755,7.1,79874,2012,0,8,2,2,Verna,12.795083560731985
2756,6.7,26320,2017,0,26,2,2,Tiago,12.924597569778228
2757,6.9,24789,2018,0,10,0,2,Compass,14.468698913033036
2758,6.7,27859,2017,0,27,0,2,Innova,14.54887843229941
2759,6.7,65952,2006,0,20,2,2,Cedia,11.727657740478227
2760,7.1,39658,2013,0,8,2,2,Verna,13.006766201015958
2761,6.6,21452,2016,0,8,2,2,i20,13.148520283247523
2762,7.2,21452,2014,0,8,0,2,Verna,13.083470770418332
2763,7.0,28958,2017,0,27,0,2,Innova,14.231359566287162
2764,6.7,14525,2017,0,16,0,2,Baleno,13.460974753006887
2765,7.1,28755,2017,0,8,2,2,Verna,13.551242883160114
2766,6.7,22152,2015,0,7,2,2,Brio,12.700354167235433
2767,7.2,22142,2016,0,26,2,2,Nano,11.905352613735888
2768,7.2,24523,2013,0,16,0,2,Swift,12.743469116898309
2769,7.3,21452,2014,0,6,0,2,EcoSport,13.366540171046355
2770,6.6,64715,2014,0,5,2,2,Punto,12.406017168301839
2771,6.7,41452,2010,0,16,0,2,Swift,12.626137326006052
